Timestamp (s),From,To
851.567042115,The_Early_Show,Dr_Phil
857.372953534,Dr_Phil,CBS_Evening_News_with_Bob_Schieffer
858.340605437,CBS_Evening_News_with_Bob_Schieffer,Dr_Phil
860.275909244,Dr_Phil,The_Early_Show
862.21121305,The_Early_Show,Dr_Phil
863.178864953,Dr_Phil,The_Early_Show
864.146516857,The_Early_Show,Dr_Phil
867.049472566,Dr_Phil,The_Early_Show
872.855383985,The_Early_Show,CBS2_News_at_6
873.823035888,CBS2_News_at_6,The_Early_Show
874.790687792,The_Early_Show,Tavis_Smiley
875.758339695,Tavis_Smiley,Entertainment_Tonight
876.725991598,Entertainment_Tonight,Tavis_Smiley
878.661295404,Tavis_Smiley,CBS2_News_at_6
880.596599211,CBS2_News_at_6,Tavis_Smiley
881.564251114,Tavis_Smiley,CBS2_News_at_6
883.49955492,CBS2_News_at_6,CBS_Evening_News_with_Bob_Schieffer
884.467206824,CBS_Evening_News_with_Bob_Schieffer,Tavis_Smiley
885.434858727,Tavis_Smiley,CBS2_News_at_6
899.949637275,CBS2_News_at_6,Tavis_Smiley
900.917289178,Tavis_Smiley,CBS2_News_at_6
901.884941081,CBS2_News_at_6,CBS2_News_at_5
904.787896791,CBS2_News_at_5,CBS2_News_at_11
907.6908525,CBS2_News_at_11,CBS2_News_at_5
908.658504403,CBS2_News_at_5,CBS2_News_at_11
909.626156307,CBS2_News_at_11,CBS2_News_at_5
911.561460113,CBS2_News_at_5,Entertainment_Tonight
915.432067726,Entertainment_Tonight,10_Oclock_News
916.399719629,10_Oclock_News,Entertainment_Tonight
